Case,Selection_group,Scenario,MMSI,Path_5min_m,Avg_speed_5min_kn,True_turn_deg,Anchor_lat,Anchor_lon,RF_ADE_m,RF_FDE_m,RNN_ADE_m,RNN_FDE_m,LSTM_ADE_m,LSTM_FDE_m,HINN_ADE_m,HINN_FDE_m,HINN_ADE_gain_pct,HINN_FDE_gain_pct,HINN_ADE_rank,HINN_FDE_rank,Recommended_main_figure,Recommendation_reason
1,HINN-leading,Straight,525100764,1172.04296875,7.594237459924371,-0.37248262763023376,10.210673324895696,107.05059500012648,177.8010711669922,417.8883972167969,231.7625274658203,498.45892333984375,167.38963317871094,386.6855163574219,105.2486343383789,190.57066345214844,37.123565673828125,50.71688461303711,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
2,HINN-leading,Straight,574480000,1858.7254638671875,12.043587924485383,-0.11893973499536514,10.302290000923342,107.26681330163436,90.60226440429688,245.21678161621094,132.5281982421875,328.8384704589844,88.90872955322266,178.35244750976562,27.357585906982422,65.435791015625,69.22958374023438,63.31096649169922,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
3,HINN-leading,Moderate curve,525100764,1221.74072265625,7.916253422181682,12.390113830566406,10.22014167082676,107.05613914945944,107.4142074584961,244.63644409179688,286.85113525390625,635.963134765625,167.24551391601562,381.0654602050781,21.019643783569336,41.274349212646484,80.43122100830078,83.12828826904297,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
4,HINN-leading,Moderate curve,352001126,1563.009765625,10.127501831265082,-20.39824867248535,10.417152223696991,107.00936830007284,124.93575286865234,340.1528015136719,126.14301300048828,353.4179382324219,125.385009765625,345.5887756347656,49.80525207519531,130.2573699951172,60.135311126708984,61.70621871948242,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
5,HINN-leading,Strong curve,229786000,1921.4166259765625,12.449794509389829,-46.08930969238281,10.537563326647442,106.85494670828344,666.607666015625,1656.2076416015625,582.8049926757812,1463.2816162109375,694.8749389648438,1768.9417724609375,333.8377380371094,860.1406860351562,42.71879196166992,41.21837615966797,1,1,False,HINN leads but absolute error/margin less suitable for main figure
6,HINN-leading,Strong curve,525100764,1182.1923828125,7.66000045882869,-38.97727966308594,10.199893321915374,107.04771169998614,350.4284362792969,850.6765747070312,369.50811767578125,814.9854125976562,307.0535583496094,696.8164672851562,227.23812866210938,491.8204345703125,25.993976593017578,29.418941497802734,1,1,False,HINN leads but absolute error/margin less suitable for main figure
7,HINN-leading,Long-range,229786000,1879.6611328125,12.179240324262699,71.54545593261719,10.544678330610518,106.84940330284496,421.0880432128906,1260.1168212890625,404.4893493652344,1159.6510009765625,419.8636169433594,1162.034912109375,209.85267639160156,549.0877685546875,48.119110107421875,52.650604248046875,1,1,False,HINN leads but absolute error/margin less suitable for main figure
8,HINN-leading,Long-range,574480000,1856.912109375,12.03183831719293,-0.47594383358955383,10.301541666983915,107.2634767079055,93.0386734008789,240.0383758544922,74.91048431396484,210.3140411376953,104.78588104248047,345.4217224121094,28.86957359313965,75.58238983154297,61.46123504638672,64.0621337890625,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
9,HINN-leading,Offshore,636018224,1590.1368408203125,10.303271368832581,13.168904304504395,10.258007958341471,107.10015243514384,181.829833984375,450.4261779785156,111.10810852050781,277.17449951171875,127.82537078857422,349.4709167480469,73.49443817138672,188.1338653564453,33.85321807861328,32.12439727783203,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
10,HINN-leading,Offshore,574480000,1758.0350341796875,11.39116557020581,-3.169072389602661,10.279140909493428,107.11877120799797,53.16395950317383,142.7377166748047,51.52691650390625,165.44908142089844,72.13555145263672,199.7295684814453,24.224843978881836,94.81273651123047,52.98604202270508,33.57555389404297,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
11,HINN-leading,Channel/approach,229786000,1863.7913818359375,12.076412475319229,69.4501953125,10.543630550680122,106.84922724150096,364.2735595703125,1118.49267578125,374.5302734375,1149.06103515625,367.5694274902344,1124.7847900390625,173.5481414794922,468.2403869628906,52.35774230957031,58.13648223876953,1,1,False,HINN leads but absolute error/margin less suitable for main figure
12,HINN-leading,Channel/approach,352001126,1633.57666015625,10.58473912389719,31.736928939819336,10.47192102586474,106.94104690219793,184.14572143554688,451.9436950683594,99.25753784179688,269.4469909667969,100.32099914550781,235.25653076171875,51.17518615722656,136.93814086914062,48.4420166015625,41.7919921875,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
13,Near-tie/challenging,Straight,574003030,1493.743408203125,9.678691352237399,2.413043737411499,10.412007893332635,106.8003324400895,17.702299118041992,38.24601364135742,14.908242225646973,29.783462524414062,22.860361099243164,59.24140167236328,15.004467010498047,31.480958938598633,-0.6454468965530396,-5.699459552764893,2,2,False,Near-tie/challenging case; useful for robustness/supplementary
14,Near-tie/challenging,Moderate curve,636018224,1436.8980712890625,9.310362717089145,9.907261848449707,10.26359999980765,107.098316099611,109.85047912597656,289.5416564941406,88.99653625488281,275.8005065917969,71.19519805908203,203.35205078125,72.25578308105469,209.90057373046875,-1.489686131477356,-3.2202885150909424,2,2,False,Near-tie/challenging case; useful for robustness/supplementary
15,Near-tie/challenging,Moderate curve,352001126,1558.3167724609375,10.097093641944426,-8.89239501953125,10.411686670189937,107.017071700422,28.791643142700195,45.24495315551758,32.47622299194336,123.63674926757812,18.147945404052734,49.4239387512207,18.411014556884766,34.284698486328125,-1.4495809078216553,24.224260330200195,2,1,False,Near-tie/challenging case; useful for robustness/supplementary
16,Near-tie/challenging,Strong curve,229786000,2000.2049560546875,12.960302488736627,44.810546875,10.504969171528428,106.94972357988928,131.98785400390625,344.9475402832031,122.9209213256836,342.74212646484375,135.28359985351562,340.76953125,121.9955825805664,360.4458312988281,0.7527918815612793,-5.774078369140625,1,4,False,Near-tie/challenging case; useful for robustness/supplementary
17,Near-tie/challenging,Strong curve,574572000,1007.0943603515625,6.52545505666676,-41.360233306884766,10.49540863635032,106.9980525840011,82.54215240478516,268.96923828125,34.51697540283203,115.92536163330078,41.13138961791992,124.6694107055664,36.22203826904297,98.31724548339844,-4.9397807121276855,15.189184188842773,2,1,False,Near-tie/challenging case; useful for robustness/supplementary
18,Near-tie/challenging,Long-range,229786000,1914.958251953125,12.407947557318353,27.830015182495117,10.500767223061336,106.95003170063472,143.3922882080078,354.88397216796875,80.85897064208984,182.63031005859375,140.42282104492188,276.248046875,79.44817352294922,193.3822784423828,1.744762659072876,-5.8872857093811035,1,2,False,Near-tie/challenging case; useful for robustness/supplementary
19,Near-tie/challenging,Offshore,574480000,1323.1356201171875,8.573240366409738,-4.092260837554932,10.27655167125264,107.1547949992298,48.25825119018555,92.20343017578125,18.28253936767578,35.66266632080078,13.005086898803711,29.43630027770996,13.909786224365234,28.863849639892578,-6.956503391265869,1.9447098970413208,2,1,False,Near-tie/challenging case; useful for robustness/supplementary
20,Near-tie/challenging,Channel/approach,229786000,2069.173583984375,13.407183833318916,8.75931453704834,10.51687583829329,106.903185802176,114.97560119628906,287.634033203125,93.76615905761719,244.71304321289062,106.00801849365234,311.0400085449219,89.75696563720703,253.05508422851562,4.275735855102539,-3.408907413482666,1,2,False,Near-tie/challenging case; useful for robustness/supplementary
