Model,Horizon_s,MeanError_m
Random Forest,10,2.77902889251709
Random Forest,20,5.408290386199951
Random Forest,30,8.427594184875488
Random Forest,40,11.837496757507324
Random Forest,50,15.714895248413086
Random Forest,60,19.90566635131836
Random Forest,70,24.78550910949707
Random Forest,80,30.015727996826172
Random Forest,90,35.79043197631836
Random Forest,100,42.00931167602539
Random Forest,110,48.78886413574219
Random Forest,120,55.832393646240234
Random Forest,130,63.372493743896484
Random Forest,140,71.22937774658203
Random Forest,150,79.5374755859375
Random Forest,160,88.12169647216797
Random Forest,170,97.06877136230469
Random Forest,180,106.18204498291016
Random Forest,190,115.71812438964844
Random Forest,200,125.43156433105469
Random Forest,210,135.59849548339844
Random Forest,220,146.0782928466797
Random Forest,230,157.00070190429688
Random Forest,240,168.17869567871094
Random Forest,250,179.82862854003906
Random Forest,260,191.78163146972656
Random Forest,270,204.10508728027344
Random Forest,280,216.6431121826172
Random Forest,290,229.53897094726562
Random Forest,300,242.6629180908203
RNN,10,2.1471047401428223
RNN,20,3.9762065410614014
RNN,30,6.269300937652588
RNN,40,8.709120750427246
RNN,50,12.07618236541748
RNN,60,15.342296600341797
RNN,70,19.2716007232666
RNN,80,23.847604751586914
RNN,90,29.310503005981445
RNN,100,35.06705093383789
RNN,110,40.7020149230957
RNN,120,47.75957107543945
RNN,130,54.94076919555664
RNN,140,61.98210525512695
RNN,150,69.70068359375
RNN,160,76.8651351928711
RNN,170,85.32349395751953
RNN,180,96.77445220947266
RNN,190,102.93729400634766
RNN,200,112.90921020507812
RNN,210,121.35277557373047
RNN,220,132.46763610839844
RNN,230,146.00250244140625
RNN,240,154.34286499023438
RNN,250,164.28378295898438
RNN,260,177.13975524902344
RNN,270,189.43307495117188
RNN,280,204.5218963623047
RNN,290,214.44752502441406
RNN,300,225.07940673828125
LSTM,10,2.290135383605957
LSTM,20,4.3539838790893555
LSTM,30,6.710567951202393
LSTM,40,9.694369316101074
LSTM,50,13.088459014892578
LSTM,60,17.319982528686523
LSTM,70,20.096574783325195
LSTM,80,26.66122817993164
LSTM,90,30.842987060546875
LSTM,100,36.47161865234375
LSTM,110,42.83250427246094
LSTM,120,49.24117660522461
LSTM,130,56.500762939453125
LSTM,140,64.1352767944336
LSTM,150,71.56847381591797
LSTM,160,79.51934814453125
LSTM,170,88.5014877319336
LSTM,180,96.99212646484375
LSTM,190,105.97415161132812
LSTM,200,114.38409423828125
LSTM,210,126.22940826416016
LSTM,220,135.92845153808594
LSTM,230,148.369384765625
LSTM,240,157.82566833496094
LSTM,250,168.66030883789062
LSTM,260,179.67420959472656
LSTM,270,191.96292114257812
LSTM,280,208.27294921875
LSTM,290,217.96075439453125
LSTM,300,230.95042419433594
HINN,10,2.898754835128784
HINN,20,5.399603366851807
HINN,30,8.09952163696289
HINN,40,11.014922142028809
HINN,50,14.473443031311035
HINN,60,18.223852157592773
HINN,70,22.622142791748047
HINN,80,27.383100509643555
HINN,90,32.32937240600586
HINN,100,38.041297912597656
HINN,110,43.931095123291016
HINN,120,50.32809829711914
HINN,130,56.75442123413086
HINN,140,63.581485748291016
HINN,150,71.03131103515625
HINN,160,78.0320053100586
HINN,170,85.8359375
HINN,180,93.4649429321289
HINN,190,101.88078308105469
HINN,200,109.46471405029297
HINN,210,118.13121795654297
HINN,220,126.3725357055664
HINN,230,136.7940216064453
HINN,240,145.78302001953125
HINN,250,155.28103637695312
HINN,260,165.0459747314453
HINN,270,174.92372131347656
HINN,280,186.40834045410156
HINN,290,196.9810028076172
HINN,300,207.21749877929688
