Scenario,SampleIndex,MMSI,Model,ADE_m,FDE_m
Straight,340,352001126,Random Forest,41.92863845825195,113.96947479248047
Straight,340,352001126,RNN,44.0726432800293,118.84493255615234
Straight,340,352001126,LSTM,41.33115768432617,121.94251251220703
Straight,340,352001126,HINN,23.502117156982422,49.07695770263672
Moderate curve,181,229786000,Random Forest,205.4674530029297,452.098876953125
Moderate curve,181,229786000,RNN,131.7243194580078,363.2506408691406
Moderate curve,181,229786000,LSTM,298.57012939453125,707.8006591796875
Moderate curve,181,229786000,HINN,86.00354766845703,262.3088684082031
Strong curve,97,229786000,Random Forest,89.27021789550781,262.1346435546875
Strong curve,97,229786000,RNN,242.09686279296875,612.0997924804688
Strong curve,97,229786000,LSTM,171.10275268554688,400.5876159667969
Strong curve,97,229786000,HINN,127.17095184326172,330.99725341796875
Long 1.8–3.0 km,111,229786000,Random Forest,39.198490142822266,150.10572814941406
Long 1.8–3.0 km,111,229786000,RNN,51.55361557006836,92.21953582763672
Long 1.8–3.0 km,111,229786000,LSTM,45.36474609375,110.03771209716797
Long 1.8–3.0 km,111,229786000,HINN,161.94915771484375,238.87232971191406
Offshore,709,574001570,Random Forest,63.468753814697266,149.89317321777344
Offshore,709,574001570,RNN,58.2802734375,163.06121826171875
Offshore,709,574001570,LSTM,67.99402618408203,188.82717895507812
Offshore,709,574001570,HINN,48.97666549682617,140.00784301757812
Channel/approach,175,229786000,Random Forest,79.4386978149414,266.09234619140625
Channel/approach,175,229786000,RNN,82.3470687866211,218.48780822753906
Channel/approach,175,229786000,LSTM,77.66303253173828,262.44720458984375
Channel/approach,175,229786000,HINN,93.25782775878906,258.7775573730469
